OTS Component Name(FDA) Dependency Name (needs to correct need only OTS components name here);Purpose(FDA) Intented Use;Description;Version(By FDA) Accepted Versions;Timestamp(FDA);Supplier (FDA) Manufacturer;License;Unique Identifier;DEPENDENCY RELATIONSHIP;Vulnerabilities
@mui/x-date-pickers;;;^6.17.0;2024-06-04T23:29:34.202516;mui;MIT;@mui/x-date-pickers-^6.17.0;prop-types,@types/react-transition-group,@mui/utils,react-transition-group,clsx,@mui/base,@babel/runtime;
@reduxjs/toolkit;;An ECMA5 compliant javascript multi-purpose toolkit.;^1.9.7;2024-06-04T23:29:34.719910;reduxjs;MIT;@reduxjs/toolkit-^1.9.7;redux,redux-thunk,immer,reselect;
axios;;Promise based HTTP client for the browser and node.js;^1.6.8;2024-06-04T23:29:35.842833;axios;MIT;axios-^1.6.8;follow-redirects,form-data,proxy-from-env;
babel-jest;;Jest plugin to use babel for transformation.;^29.7.0;2024-06-04T23:29:36.447952;jestjs;MIT;babel-jest-^29.7.0;@jest/transform,@types/babel__core,babel-plugin-istanbul,babel-preset-jest,chalk,graceful-fs,slash;
cookies-next;;Getting, setting and removing cookies on both client and server with next.js;^4.0.0;2024-06-04T23:29:37.432405;andreizanik;MIT;cookies-next-^4.0.0;cookie,@types/cookie,@types/node;
countries-list;;Continents & countries  ISO 3166-1 alpha-2 code, name, ISO 639-1 languages, capital, currency, native name, phone. JSON, CSV and SQL.;^3.0.6;2024-06-04T23:29:38.094964;annexare;MIT;countries-list-^3.0.6;;
date-fns;;Modern JavaScript date utility library;^2.30.0;2024-06-04T23:29:39.085869;date-fns;MIT;date-fns-^2.30.0;@babel/runtime;
dayjs;;2KB immutable date time library alternative to Moment.js with the same modern API;^1.11.10;2024-06-04T23:29:40.445216;iamkun;MIT;dayjs-^1.11.10;;
formik;;Build forms in React, without the tears;^2.4.5;2024-06-04T23:29:41.732182;jaredpalmer;Apache-2.0;formik-^2.4.5;deepmerge,hoist-non-react-statics,lodash,lodash-es,react-fast-compare,tiny-warning,tslib;
libphonenumber-js;;A simpler (and smaller) rewrite of Google Android's libphonenumber library in javascript;^1.10.61;2024-06-04T23:29:43.009446;catamphetamine;MIT;libphonenumber-js-^1.10.61;libphonenumber-js;
material-ui-confirm;;Higher order component for straightforward use of @material-ui/core confirmation dialogs.;^3.0.9;2024-06-04T23:29:43.955595;jonatanklosko;MIT;material-ui-confirm-^3.0.9;;
mui-datatables;;Datatables for React using Material-UI;^4.3.0;2024-06-04T23:29:45.283642;DefinitelyTyped;MIT;mui-datatables-^4.3.0;@babel/runtime-corejs3,@emotion/cache,tss-react,clsx,lodash.assignwith,lodash.clonedeep,lodash.debounce,lodash.find,lodash.get,lodash.isequal,lodash.isundefined,lodash.memoize,lodash.merge,prop-types,react-dnd,react-dnd-html5-backend,react-sortable-tree-patch-react-17,react-to-print;
mui-tel-input;;A phone number input designed for the React library MUI built with libphonenumber-js;^4.0.1;2024-06-04T23:29:45.897076;viclafouch;MIT;mui-tel-input-^4.0.1;libphonenumber-js;
next;;The React Framework;^14.2.3;2024-06-04T23:29:46.529198;vercel;MIT;next-^14.2.3;@next/env,@swc/helpers,caniuse-lite,postcss,styled-jsx,@next/swc-android-arm-eabi,@next/swc-android-arm64,@next/swc-darwin-arm64,@next/swc-darwin-x64,@next/swc-freebsd-x64,@next/swc-linux-arm-gnueabihf,@next/swc-linux-arm64-gnu,@next/swc-linux-arm64-musl,@next/swc-linux-x64-gnu,@next/swc-linux-x64-musl,@next/swc-win32-arm64-msvc,@next/swc-win32-ia32-msvc,@next/swc-win32-x64-msvc;
next-redux-wrapper;;Redux wrapper for Next.js;^8.1.0;2024-06-04T23:29:47.124960;kirill-konshin;MIT;next-redux-wrapper-^8.1.0;;
nextinspect;;;^1.0.1;2024-06-04T23:29:47.774516;oslabs-beta;MIT;nextinspect-^1.0.1;@opentelemetry/sdk-node,cors,opentelemetry-instrumentation-express,nodemon,express,@opentelemetry/exporter-trace-otlp-http,@opentelemetry/instrumentation-http,@opentelemetry/instrumentation,@opentelemetry/semantic-conventions,@opentelemetry/sdk-trace-node,@opentelemetry/resources;
notistack;;Highly customizable notification snackbars (toasts) that can be stacked on top of each other;^3.0.1;2024-06-04T23:29:48.374513;iamhosseindhv;MIT;notistack-^3.0.1;clsx,hoist-non-react-statics;
react;;React is a JavaScript library for building user interfaces.;^18;2024-06-04T23:29:49.320280;emotion-js;MIT;react-^18;loose-envify;
react-dom;;React package for working with the DOM.;^18;2024-06-04T23:29:49.912152;floating-ui;MIT;react-dom-^18;loose-envify,scheduler;
react-icons;;SVG React icons of popular icon packs using ES6 imports;^4.11.0;2024-06-04T23:29:50.873516;react-icons;MIT;react-icons-^4.11.0;;
react-input-pin-code;;Pin input built with React component and styled-components;^1.2.1;2024-06-04T23:29:51.696072;luffy84217;MIT;react-input-pin-code-^1.2.1;;
react-query;;Hooks for managing, caching and syncing asynchronous and remote data in React;^3.39.3;2024-06-04T23:29:52.669148;tannerlinsley;MIT;react-query-^3.39.3;@babel/runtime,broadcast-channel,match-sorter;
react-redux;;Official React bindings for Redux;^8.1.3;2024-06-04T23:29:53.272170;reduxjs;MIT;react-redux-^8.1.3;@babel/runtime,@types/hoist-non-react-statics,@types/use-sync-external-store,hoist-non-react-statics,react-is,use-sync-external-store;
styled-components;;Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress;^6.1.1;2024-06-04T23:29:53.863435;styled-components;MIT;styled-components-^6.1.1;@babel/helper-module-imports,@babel/traverse,@emotion/is-prop-valid,@emotion/stylis,@emotion/unitless,babel-plugin-styled-components,css-to-react-native,hoist-non-react-statics,shallowequal,supports-color;
vercel;;The command-line interface for Vercel;^33.3.0;2024-06-04T23:29:54.811563;vercel;Apache-2.0;vercel-^33.3.0;@vercel/build-utils,@vercel/go,@vercel/hydrogen,@vercel/next,@vercel/node,@vercel/python,@vercel/redwood,@vercel/remix,@vercel/ruby,@vercel/static-build;
yup;;Dead simple Object schema validation;^1.3.2;2024-06-04T23:29:55.390656;jquense;MIT;yup-^1.3.2;@babel/runtime,@types/lodash,lodash,lodash-es,nanoclone,property-expr,toposort;
